multimodal_emotion	text_script
2	그때는 민철이가 참 착했어요.
2	어머.. 그럼 뭐… 빚 때문에 그랬다는 거야?
7	그래서 가까운 친척분들만 모시고 식사하기로 했어요.
7	이모... 내가 생각을 해봤는데.
6	뭘 다 커 니가. 아직 핏덩이같은데.
6	지금 엄마 낮잠 자려고 그랬는데?
4	정말 죄송합니다…
3	신분증? 이거 웃기는 녀석이네. 나 경찰이야. 몰라?
3	개꿈일거야.
0	어린 놈이 어디서 도끼눈을 떠?!
4	네. 형님.
5	너 친구들도 많이 왔지?
2	음 그래. 가슴 답답하고, 자꾸 졸음이 오는 것이, 암 같어.         아 큰일 났다고.
6	그래요? 몇 시 표세요?
7	감사합니다.
0	아버지. 이제 고집 좀 그만 부리세요. 저희 생각도 좀 해주세요.
1	그냥… 요즘 세상이 흉흉하니까… 걱정되서 그러지.
0	아니 니 말버릇이 안 좋으니까 그렇지.
0	왜 자꾸 줄여 말해. 이상하게! 돼지 저금통이라고 해. 그리고! 그거 몰래 썼다가 엄마한테 걸리면, 나 진짜 죽어. 맞을지도 몰라.
1	그럼 내가 가서 얘기할까?
3	야 야. 됐다. 됐어. 말을 말자.
2	네! 우리엄마는 햄 못 먹게해요.
7	음...두부!
1	호텔 관리나 고객 유치, 호텔 브랜드 마케팅 같은 거 배우지 않을까?  그런 거 배우고 싶어서 거기 썼어.
0	누구 맘대로 별거 아니라는 거야?
2	어. 금요일인가? 홍천으로 다녀왔다며.
1	올 때, 또 빈 손으로들 오겠어? 다 돈 봉투 챙겨오지.
3	낚시 하려면 당연히 배 타고 나가야지. 아빠가 배도 다 예약해 놨어.
1	면접 일자가 잡혀서, 입고 갈 옷을 사려고요.
3	아빠 맨날 잔소리 하잖아.
7	알았어. 그럼 올 때 아이스크림.
7	음… 꽃 같은건 어때?
0	장난 그만 하시고요. 진지하게 들으세요.
0	왜 소리를 지르고 그러세요?
6	아 그런 건 아니고. 그냥 답답-해.
4	데료다 줘.
2	음… 엄마만 알고 있어야 돼?
2	맞아요… 카페인 엄청 많이든거…
0	알았어 아가씨. 그냥 주의해 달라고 말하는 거잖아요.
4	오빠, 대학이 인생에서 진짜 중요해?
0	에이, 이 근방은 다른 부동산 가도 뭐 없어. 여기서 해결해.
7	잠깐만 잠깐만.  할아버지가 용돈 주마.
1	그래도 내가 한 번 말해 볼게.
4	그치 형 스물 다섯, 나 스물 셋에 돌아가셨으니까.
6	선생님이 잘 말해줄 수 있는데.
6	아 됐고, 난 지금 늦었고 피곤해서 안 나갈거야.
7	아빠가 살아보니까, 공부만이 능사가 아니더라.
7	저보다 나이가 많으면 선배님! 이라고 불러야 된다고 배웠어요.
6	답답한 소리 하시네. 요즘은 민정이 때랑 또 달라요. 유치원부터 시작하는 애들이 태반인데.
4	외로운가봐.
0	몰라서 물어?
0	으아아…!
4	그러니까요.
5	오... 그래, 이제야 본색이 나오는구나?
3	네. 엿 같아요.
5	응. 왜?
4	형은 싸움 하나도 못 하잖아.
7	네 알겠습니다 선생님!
5	너가 공부 싫으면 어떡하냐.
0	그럼. 너 진짜 30대에 꼭 결혼해야된다고 생각해?
4	전 남자친구...
1	어. 그리고, 중식 만두는 좀 더 육즙이 많은 것 같아. 고기를 좋은 것 쓰는 건가?
6	조금만 기다려봐. 지금 타이밍 보고 있어.
6	걔가 먼저 시작했어!
0	정신이 똑바로 박힌 놈이야?
0	왜요!
4	1년 정도.. 된것 같은데 아직 약정이 안 끝나서요.
6	체육 시간 울렁증은 아니고?
0	 알겠어요. 근데 제가 알아서 할게요.
5	 그런 일이 있었니? 재하가 많이 잘못했네.
3	그런데 다 드셨네요?
5	 으악. 아파요.
5	아니 오빠, 요즘 들어 갑자기 먹는 양이 확 늘었어. 무슨 겨울잠 자려고 준비하는 곰마냥 먹어대잖아.
3	삼촌 그러다가 금방 노총각 돼.
4	나는 몰랐지… 그런 걸줄은…
5	아니, 워크샵이 2주도 안 남았는데 지금까지 찾고 있으면 어떡해?
4	"저번에 왔을 때도 그렇게 말 했었잖아. 	선생님이 도와줄게. 정말 괜찮아."
6	누나가 자꾸만 놀려요.
0	누가 지금 똑같이 사랑하는지 아닌지 물었어요? 동현이 남자애라고 돈 더 주신거잖아요. 다 알아요!
5	그런가.. 내가 좀 많이 먹는 건가?
5	헐 그럼 한국 고등학교 나와서 외국 대학 가는 애들이 제일 불쌍하네? 대체 몇 년을 빡쎄게 공부하는거야?
3	아빠! 이젠 거짓말까지 하려고 그러는 거야?
2	알았어. 알았어. 당장 사줄게.
1	네 알겠습니다. 이따가 2시까지 오세요.
5	"어. 고등학교 때 처음 사겼을 때부터…….	 니 엄마는 솔직한 게 매력이잖아?"
1	잘 생각 해봐. 내가 시급 2천원 올려 줄게. 이 정도면 파격 인상이다.
0	"단어를 스무개 밖에 안 외웠어? 	영어는 단어가 생명이야. 문법 이런 것보다 뜻을 알아야 말이 통하지. 못해도 하루에 50개씩은 외워."
5	왜.
3	핑계가 좋다 핑계가. 그러면 니 여동생은? 걔는 지 알아서 대학가고, 취직하고 다 하는데! 너는 왜 못해?
5	사기? 내가 무슨 사기를 쳐?
3	아빠…. 어떻게 말씀을 그렇게 하세요.
6	야. 그냥이 뭐야.  이모 결혼식 날인데, 인심 좀 쓰지!
4	사람도 좋고, 성격도 잘 맞고 그랬는데,       왠지, 평생을 같이 할 수 있을거라는, 생각은 안 들더라고.
6	"누가 그런 유언비어를 퍼뜨려?	 엄마, 너 대학교 가고, 직장가고,  결혼해서 애 낳는 것까지 다~ 보고 죽을거야. 100살까지 살다 갈 거야!"
5	영화? 그럼 돈은 별로 못 벌겠네.
3	 입 닥치라니까?
6	"밖에 오래 꺼내놨어? 	상한 것 같은데."
6	신입사원들 등산 동아리 자동 가입, 한 달에 한 번 등산 행사 필참인 거, 경력직으로 들어온 조 과장도 알지? 근데 재호 씨가 거기에 반기를 들고 나서더라구. 우리 본부장님까지 계신 자리에서 말이야.
7	당연히 만날 수 있지!
7	그리고, 소주랑 맥주랑 섞어 먹으면 또 그 맛이 장난 아니야.
3	아니 걔 맨날 씻지도 않고 잠이나 퍼자던 애가 요즘 들어 부쩍 위생에 신경을 쓰는 것 같기도 하고.
6	박 형사. 바빠?
4	넌 중학교 어디로 가고 싶어?
5	아니 저번에. 아빠는 시골에서 불도 없어서 달빛에 공부했는데도 전교 5등 안에 들었다던데?
2	 아!..아파. 아야!
4	"진짜 죄송해요. 	저는 진짜 모르고."
6	아 왜. 축구 보자.
5	그러면 어떡하지?
7	보냈어 언니.
4	어. 환청이나 환각을 느끼다가, 뛰어내리는 사람이 많았대, 그 약을 먹고.    혹시, 보민이도 그 약을 먹은 게 아닐까...?
3	에이. 엄마가 뭘 그런 걸 물어봐. 하루 정도는 그냥 시켜 먹어도 괜찮아. 후라이드 치킨 한 번 봐라. 튀김 옷에 탄수화물, 살코기에 단백질, 거기다 지방. 완전식품이라니까.
0	너 진짜 왜 그래. 남자친구 사귀라더니, 맘이 바꼈어?
5	너 엄마 몰래 10만원 꿍쳐놨잖아. 그걸 벌써 다 썼어?
2	 ….아닌데요.
4	니 엄마가 가버렸는데 돌침대가 다 무슨 소용이냐….
2	흡기 클리닝 하면 좀 낫나요? 사람들이 돈 낭비라고 하기도 하던데…
3	이 사람이 진짜... 그 따위 생각을 가지고, 우리 아저씨를 돌봤어요? 그간에?
6	뺄 살이 없긴.. 나 빼고 다 다이어트해
7	아 네. 감사합니다.
2	알겠어요.... 어떻게든 다음주까지… 가져 올게요.
7	왔어? 아이스크림은?
1	엄마 아빠 오늘은 어제처럼 늦지는 않을 거라고, 아까 연락 왔었어. 조금만 더 기다리자. 지은아. 엄마랑 아빠랑 같이 먹어야 맛있게 먹지.
7	아니에요. 괜찮아요. 신경써 주셔서 감사해요.
5	어머 안녕하세요. 세희 어머니… 맞으시죠?
4	그래.. 뉴스에 자꾸 나오더라.
6	뭘 어떻게 돼 진희는 지가 10년 이상 하던거를 미숙이가 오자마자 하겠다고 하니까 기분이 상해버린거지
3	할머니도, 오늘 뜬 눈으로 밤을 지새우게 생겼다.
7	술도 마셨어?
4	엄마는 좀 어때? 좀 나아졌어?
7	네…. 근데 저는 아빠 닮았대요.
4	남자가 다시 환생을 하면 여자는 이미 늙어서 죽겠지.
4	예. 미국으로 이민 갔다가, 지금 아버지가 편찮으셔서 잠깐 들렀어요.
4	그럼 할아버지 은퇴는 언제 하셨어요?
3	그럼 됐죠?
1	오오, 로맨틱하네. 성공적이길 빌어요?
5	심부름하면 엄마가 돈 줘요.
3	몇 만원씩 하는 술값은 안 아깝고 과자값 천오백원은 아깝냐.
4	집에서 쉰다고 마음이 편한 것도 아니야
4	걔 자기 태권도 다닌다고, 조금 이따 검은 띠 딸 거라고 엄청 자랑하고 다닌단 말이야.
4	음.. 제가 동생을 처음 때렸던 순간입니다.       동생이 이제 막 걸음마를 떼던 때였는데, 저는 그 때 당시에       동생이 너무 미웠어요. 엄마도 아빠도 동생만 신경썼거든요.       그래서 동생이 일어서지 못하게 자꾸 동생을 밀어서 넘어뜨렸어요.      그런데 동생은 울지도 않고, 계속 일어나더라고요.      그게 너무 미워서 동생을 때렸어요.       그러자 동생이 무시무시하게 큰 소리로 울었어요.       마치… 자기도 여기 있다고, 누군가한테 말하는 것 같았어요.
4	그래, 선생님이 얼른 가 봐야겠다. 알려줘서 고마워, 지은아. 참, 다른 애들에게도 말해 줘. 재동이 놀리지 말라고.
7	아들, 산타 할아버지한테 선물 뭐 달라고 빌었어~?
1	나 이제 운동 좀 시작하려고… 아무래도 안 되겠어.
0	뭐라고 이놈의 시키야. 너처럼 천하태평한 초등학생이 어딨다고,  스트레스 핑계를 대셔. 엄마 말처럼 일찍 자고 일찍 일어나고, 밥만 잘 먹어봐. 잭과 콩나무처럼 쑥쑥 자랄 걸.
5	안 단 거? 누가 먹을 건데?
7	그러게. 그래도 언니는 회사 생활 잘 하는 거 같어.
5	사랑한다고요?
5	아니에요! 이 책 제가 진짜 좋아해요!
5	날? 자기야… 나 때릴 데가 어딨다고…
2	네, 저 잠깐만 뭐 좀 물어봐도 돼요?
7	 네. 선생님 너무 감사합니다. 정말 너무 감사합니다.
1	응. 내가 이번에 방학 때 해외 봉사 다녀왔잖아.
3	괜찮다니까 그러네.
4	그래. 근데 계약은 어떻게 해. 위약금 물려줘야 되는 거 아니야?
4	혜리가 좀 집에 자주 오면 좋겠는데..
4	그렇겠죠… 타이밍 벨트도 큰 맘 먹고 교체 했는데…
7	그래! 빠샤!
7	그래. 그럼 나 다음에 형 차 한 번 타봐도 되나?
7	항공권 같은 건 걱정 마. 내가 알아서 다 알아 봐 둘 테니까.
4	저도 그 집이 제일 마음에 들긴 하는데. 좀 고민이 되네요.
0	경찰이면 그렇게 아무거나 막 물어보셔도 된다는거에요?!
6	그런게 어디있어.
7	 아이고, 바쁘실텐데 귀중한 시간 내 주셔서 감사합니다. 유튜브에서 대표님 인터뷰를 보고, 정말 너무너무 뵙고 싶어서 이렇게 연락드렸어요.
1	병원 가니까 마취주사 엄청 놓더만, 술이나 주사나 둘다 알콜 아니냐.
5	어머, 동수 아빠 말려, 언니. 사채 그거 그러다가 큰일 난다니까?
1	어. 꼭 만화 같아.
3	그러니까. 우리 누나가 왜? 어디가 그렇게 좋은데요?
0	아니야! 아니라고! 나 소정이 진짜 좋아한단 말이야! 아빠는 아무 것도 몰라!
1	아니야. 어제 아빠가 다 먹었어.
0	니가 먹었나보지! 몽유병처럼 자다가 나와서 먹었나보지!!
7	알았어. 근데 자기 요새 요리 실력이 많이 늘었더라?
1	잘 봐. 내가 택수 그리는 거 보여 줄게.
7	그럼 내일은 일찍 들어오는 거지?
6	"엄마도, 인생이 허무해서 그래. 	 뭐라도 사람구실을 하고 싶어서."
3	왜 또 부르셨어요.
1	생각해보니까 빵이라도 좀 사갈 거 그랬어.
0	야!
2	그건 좀…
5	아무것도 안했는데요?
6	난 진짜 한 대리가 그런 사람일 줄은 몰랐다니까. 심지어 같이 점심 먹었던 날에는 나보고 좋은 결과 있길 바란다고 말했다구.
0	야 김준성. 너 뭐라고 했어?
0	발레? 그거는 너 세살 때 잠깐 배운거지… 이젠 공부해야 해서 발레 같은 건 못 배워. 남들 다 공부 열심히 해서 앞서 나가는데 너만 뒤처질래? 그건 싫잖아.
2	공포영화를 보면....?
0	정신차려 그냥 살면 돼.
7	" 좋은 사람. 	엄청 좋은 사람."
3	서른 중반이 다 되도록, 뭘 했나? 어?
7	어. 우리 비행기 타고 차 타고 왔잖아.
0	뭐? 안된다는거야?
1	그래도 좋겠다, 이제 새 집 들어가겠네.
3	아… 그 때까지 뭐 먹고 살아요…
4	"됐어. 지율이가 삼촌 귀엽다던데? 	 소개시켜줄까?"
1	앞 번을 탄 사람들이 이자를 다달이 붙여 내게 되니까.
0	엄마가 뭐 헬스야. 나 운동 할거야. 공부 하려면 체력 좋아야된단 말이야.
4	지금 한 사 년정도 됐지.       요즘 슬슬 결혼 얘기 나오는데. 사실 잘 모르겠어.       이모도 이렇게 오래 만난 사람 있었어? 아 이모부랑은 얼마나 만났지?
3	아빠가 뭔 고생을 했어….. 정작 그 학교 다니느라 생고생하는 사람은 난데 아빠가 뭔 고생을 했냐고.
0	내가 왜 선생님이야?
1	어. 근데 우리가 가면 맨날 먹는 메뉴가 있단 말이야.
6	결혼 생각 없다니까.
6	방해하지 말고 나가 줘. 나 지금 이거 보는 중이잖아.
1	그래도 카페가 많이 생기니까, 맛좋은 커피 마시는 건 좋잖아.
0	선생님이 어머님 뵐 면목이 없다.  그러길래 중간고사 일주일 남기고  첫사랑 얘기 해달랄 때부터 내가 알아봤어.
0	어린 녀석이 그렇게 눈을 부라리면 어쩔 거야? 니가 그렇게 행동하고 다닐수록 엄마 욕 먹이는 거 밖에 더 되니?
0	만약 그 때까지 못 빼겠다면요?
3	속물처럼 들리겠지만, 솔직히 연봉 4000이상, 자가주택 소유, 차 소유, 키 180. 정도는 요즘 기본 아니냐?
4	아, 저 오늘 도시락 싸왔어요.
0	아저씨 오늘 진짜 할 일 많아. 근데 여기 온거잖아. 니가 신고한거고. 맞아 아니야?!
1	아…. 고객님.. 이해를 제대로 못하신 거 같은데요.. 제가 저번 주 금요일 고객님 방문하셨을 때 약관 보면서 같이 충분히 설명을 드렸거든요.
7	그래. 
6	"내가 거짓말을 못해서. 	이런 내가 나도 싫어. 	입에 발린말도 좀 할 줄 알고 그래야 되는데."
0	없어. 얼른 해. 내일 개학인데 아직도 숙제를 다 안 하면 어떡해?
4	혜진아. 너 차 라도 사야지.. 엄마가 힘들어서 안되겠어..
2	안돼.
7	네! 여러분들 오늘은 여자 먹방 1위 새별님과 합방을 하게 됐습니다.  와아!
2	카드도 돼~ 근데 그럴려면… 우리도 신용이 필요하니까….
5	그러게.. 너네 여권번호 물어본다는 걸 깜박했네...
0	그럼 무슨 뜻인데 언니가 한말이.
0	 뭐요? 당신 누군데?
2	제가 요 몇 년… 돈 번다고 지방에 내려가서 아이들한테 신경을 많이 못 썼거든요…
1	할 수 있는데까지는 내가 도와볼게.
6	알았어. 표정 풀면 될 거 아니냐.
4	착실하게 치료 잘 받아야지.
1	네 일단은요.
7	중고차라도~ 이모 힘으로 산건데~ 대단하다!
1	응. 걔.. 그래서 정지된 아이디가 열개도 넘어.
6	 흠... 평소에 아내분이 어떤 옷을 즐겨 입으시죠? 제가 보기에 이런 원피스는 유행이 좀 지난 것 같은데.
4	"됐어. 괜찮아. 	그리고 애 없이 그냥 남편이랑 잘 살려고. 	귀찮게 하는 사람도 없어서 좋아."
5	할아버지. 엄마랑 아빠는 왜 이혼했어요?
4	이번 주는 꼼짝없이 못 쉬게 생겼지 뭘.
4	"잘 들어가시긴. 거의 억지로 끌려 들어가신 거지.	  고려장이 이런 느낌인가 싶다."
5	이모, 노키즈존이 뭐야?
6	그렇게 치면. 남자들도 손 부드러워야 되는거 아니야?
2	단통법 시행 이후로 핸드폰 가격이 들쑥 날쑥이라..
5	네가? 밤에 왜 산책을 나가?
7	"이거 그 필기체 책이요.	 선생님 드릴게요. 전 복사본도 있고, 이미 연습도 다 했고.."
7	그래. 그래.
1	네. 이번에... 선거 한번 나가 보려고요.
3	좋아해? 사랑하지는 않고?
2	네 알았어요. 아빠, 저 진짜 앞으로 잘할게요.
2	병원에서 뭐래? 다리는 괜찮대?
3	오빠도 좀 나댄다?
7	저 그럼 할아버지, 제가 한 잔 만들어 드릴게요. 드시고 가세요.
0	자네랑 뜨개질이 워낙 안 어울리는 한 쌍이니까 그렇지.
7	왜? 이번에도 좋은 일 있었어?
3	친구들을 꼭 학교에서만 만나야돼요?
6	 몇 개 먹고 싶은데.
2	그래서… 할머니한테는 그냥 제가 좀 실수 했다고 말씀해 주시면 안될까요?
3	그럴 나이긴 하지… 그래도 나는 이제야 니가 정신차리고 학교다니려나 했는데… 또 워킹홀리데이라니… 걱정이다 정말… 너 언제 제대로 집에 붙어 있을래?
3	축구 좀 해보려고 했더니… 별 끔찍한 사람을 다 만나네!
6	"바쁘니까 택시탔죠. 	아..이럴 줄 알았으면 그냥 지하철 탈걸."
0	"아이씨. 놓고왔다. 	 아. 다시 가야 되잖아. 아씨. "
4	내가 요한이가, 눈에 밟혀서 그래.        이거라도 받아줘.
2	"이런 거 물어봐서. 	대답 안 해줘도 돼. 	할머니 일 계속 해."
6	"아니, 날짜 세주는 어플 있잖아. 	 뭐하러 계산을 해."
7	괜찮아. 엄마 밖에 좀 봐봐. 바다 너무 예쁘지 않아?
4	아빠, 근데 우리 어디로 가?
7	그래서 좋아. 오빠가 나 용돈도 줘.
2	지상준 걔 무서운 애에요.
