	Unnamed: 0	multimodal_emotion	text_script
21636	9260	6	너가 쓴 면봉 제대로 안 버리는 거 사실이잖아.
21637	55631	6	팀장님 진짜 저희 맨날 이렇게 당하고만 있어야 되요?
21638	55881	6	매번 그럴 수가 없잖아. 피곤하고.
21639	77940	6	"그 정도는 아니고, 	그냥 분위기가 그랬다니까?"
21640	74329	6	어유. 너네 엄마 피부나 걱정 하라 그래라.
21641	68319	3	어머, 넌 비위도 좋다.
21642	28109	3	글쎄다. 그게 뭐 마음처럼 되는 일이니?
21643	11636	5	야, 너 아직도 그 민희인가 걔 좋아하냐?
21644	39136	5	네...? 제가 왜요?
21645	64687	5	돋보기 같은 건 있으시죠? 검수 파트다 보니까 눈이 많이 안 좋으시면 조금 어려울 수 있는데….
21646	66620	3	"설마. 니가 아직 나를 잘 모르는구나? 	취하지 않을거면 마시지 말아라."
21647	58862	4	고마워 언니. 오랜만에 불러내서는 대뜸 이런 얘기해서 미안해.
21648	16049	1	어때.
21649	46407	1	응. 부탁해. 그리고 어제 배터리 하청업체 연락해서 확인 했지?
21650	16533	1	다음 검사 때 까지는 아마 계속 해야 한다나 봐.
21651	48448	2	그래. 나 식물 키우기 잼병인데 괜찮겠지?
21652	48291	2	"어어. 언니 그건 좀 위험하지 않아? 비밀번호를 바꿔버려.	 언니 없을 때 청소해주러 오시면 어떡해."
21653	33841	4	제 때 해주지 못해서 미안해.
21654	3743	4	꿈 깨래.
21655	76969	6	다른 일을 구하면 되잖아.
21656	25987	3	아! 유치해! 원래, 남자는 여자주고, 여자는 남자 주는 거야. 그런 것도 몰라? 카네이션 받고 싶으면 누나한테 말해!
21657	6961	5	지은아, 너 왜 그래? 아까부터 자꾸 이러네. 혹시 꽃가루 알레르기 같은 건가?
21658	1832	7	그러게. 뜨끈뜨끈하니 몸 녹이기도 딱 좋네. 아휴. 삭신이야.
21659	46342	3	어이구. 민정이가 없으니까 집 꼴이 이게 뭐냐.
21660	30042	7	김치.
21661	24858	2	목요일이면 분리수거 배출하는 날 아니야?
21662	18793	7	요즘 천만 관객 돌파한 그 영화 있잖아.  [할라딩].
21663	51848	0	 할머니 진짜 미워. 담부터 우리집 오지 마요!
21664	55507	7	그럼. 당연하지.
21665	71101	7	그래. 할머니 따라오렴.
21666	8958	6	점점 더워져요.
21667	48687	2	세빈이 졸업 언제 할 것 같아?
21668	54467	3	그냥 걔 혼자서 싫어서 그러는거니?
21669	10177	0	너 내가 그러게 병원 가라고 했지!
21670	12483	3	근데… 너 샤워는 잘 하지?
21671	34254	4	한숨 쉬지 말고 나한테 얘기해봐… 도대체 어떻게 된거야?
21672	16123	1	누구?
21673	53540	5	나야 모르지 그런건. 당에서 알아서 하는거지. 왜 또 기사거리 뽑아먹을려고 찔러봐?
21674	38263	3	왜요? 나 또 뭐 했을 거 같아요?
21675	4863	0	어떻게 이걸 처음 봐요 제가 지금 받자마자 알겠는데..
21676	16859	4	그렇게 될 것 같아.
21677	43640	3	모의 시험 만큼만 했으면 이미 합격이지. 왜 항상 본 시험에는 모의 시험만큼 못 볼까.
21678	15607	4	네, 팀장님. 그러게요. 저도 정말 섭섭해요. 그동안 너무 잘해주셨는데...
21679	46125	2	아 그래도 가격이 조금 부담이 되어서요. 크루즈 말고 다른 효도관광은 없나요?
21680	28718	3	일부러 그런 게 아니야? 너 정말 오늘 나한테 먼지나게 맞아 볼래?
21681	43432	2	아니…
21682	9190	6	 교조적이었다고?
21683	17152	1	내 나이가 몇인데! 그래도 아직까지 내가 동년배들 중에서는 눈이 밝은 편이라니까.
21684	58393	5	진짜요? 그런가...?
21685	46469	3	그래 너 마셔. 이상한 놈 보겠네.
21686	63478	0	예끼 이놈아.
21687	10854	7	응. 고소하고 맛있잖아.
21688	13505	5	아니? 목욕탕에 사람 그렇게 많을까?
21689	53271	6	너는 얼마 넣었는데?
21690	23429	2	응… 그럼 할머니가 얘기해줄래? 나 오랫동안 고민했단 말이야…
21691	17311	0	언니가 왜 희순이를 만나!
21692	1178	6	너 그 펜 어디서 났어?
21693	18683	3	하... 대박이다 진짜
21694	29882	4	아니 얘가…
21695	72248	7	제가 애들한테 잘 가르쳐줄게요. 
21696	38953	0	지금 행동을 하는거 보면… 모르시는거 같은데요?
21697	70298	3	너, 요강이 뭔지도 몰라?
21698	56093	6	둘이서 막걸리를 한 두 병정도 마셨더니…        밤 늦게 뭘 먹으면 요즘엔 그렇게 소화가 잘 안돼.
21699	64497	5	그래? 엄마 미역국 그렇게 안 좋아하는데?           생일 때 아니면 끓이지도 않아.
21700	78254	2	괜찮아.
21701	52761	5	아 정말? 그랬었어? 나는 몰랐네.
21702	9771	5	수석졸업? 나 그건 몰랐네. 진짜 대단하구나. 공부 엄청 잘했네.
21703	59583	2	그럼 다행인데...
21704	20542	1	그렇지? 아무래도 오늘은 날씨가 너무 더워서 안 되겠다. 요 앞이라도 잠깐 나갔다 와야겠어.
21705	27000	2	네... 그래도 그게 여럿 쌓이다보면 꽤 부담이 되는가봐요.
21706	59116	2	여기. 봐봐. 이거 눌러도 안 돼. 
21707	49004	7	그 앉아 있어봐. 내가 뭐라도 내와야지.
21708	57055	6	나만 그런건 아니야. 정자랑 미옥이도 그렇게 생각했어.
21709	66880	4	 김서방이랑 분위기가 안 좋냐?
21710	12747	1	응.
21711	12542	1	 아... 그렇구나.
21712	51601	5	아이돌?
21713	50858	0	 너 지금 하루 종일 게임만 하고 있는거 알아?  잠깐 멈추고 이것 좀 봐주면 되잖아. 엄마 지금 이거 답장 해줘야 되서 급해.
21714	77011	2	"그래? 그건 다행이네...	 야...근데, 여긴 뭐 이렇게 기운이 쎄-하냐?"
21715	5922	0	이게 그거 랑 다를 게 뭐 있어?
21716	68871	4	걔가요... 어제 죽었대요.
21717	60242	3	으아 징그러워. 무슨 여자친구가 있어.          그럼 막 뽀뽀도 하고 그래?
21718	54175	6	엄마 배고파.
21719	45227	3	야. 너 수북한 다리털이 저 구멍으로 삐져나온다고 생각해봐.
21720	17288	0	맨날 아무것도 안 가르쳐주잖아.
21721	45317	0	 한번 살 때 세 개씩 샀겠지.         아무튼 그래서 지우가 이상하니까 이거 다 어디서 산거냐고 물었는데        현진이 딴에는 깜짝 고백한다고 경수랑 사귀는 걸 밝혀버린 거지.
21722	44239	5	너희 부모님 엄청 엄격하셨는데 너 디자인과 갔을 때 깜짝 놀라셨겠다. 
21723	74758	6	"아니, 지난 번 아가씨는 	집주인 아줌마가 너무 간섭을 많이해서 	좀 그랬다고 그러더라고."
21724	60101	3	그러니까요. 아니 교장이면 교장 답게 그냥 권위 있게 딱        교장실에 앉아만 있어도 되는 거를. 뭘 또 해보겠다고 설치니까.
21725	46390	3	엄마 래퍼로 뜨면 한 방이야. 등록금 그 정도는 한 달이면 갚을 수 있어. 조금만 기다려봐.
21726	5211	5	뭐 때문에요?
21727	25253	1	옆집 아저씨도 엄청 투덜대더라고. 당최 뭘 물어볼 수가 없다고.. 그래서 주민센터까지 가서 확인하고 왔다고 그러더라.
21728	8573	6	왜 자꾸 상황이 바뀌는거야?
21729	5899	4	네. 검은점요.
21730	49239	7	네  죄송해요. 생각해보니까 오전에 커피를 한 잔 마셨어서 많이 마시면 안될 것 같아요.
21731	8251	7	 김 과장님, 저 드디어 애 아빠 됐습니다!
21732	10830	7	원래는 [아이 에이트 어 치킨 예스터데이.]가 맞는건데.
21733	76552	6	응. 화장실 갔다와서, 갈비 또 푸러 가려고!
21734	61740	3	아~ 나는 되고 너는 안 된다?
21735	56561	6	너 요기서 안 먹어봤니. 초고추장이랑 해서 싸먹을 수 있게 주던데?
21736	65707	4	아빠, 몸이 좀 안 좋아서 병가냈어.
21737	10541	3	자린고비. 치사빤스.
21738	52626	5	오. 언제부터?
21739	22089	1	깊은 바다일수록 높은 파도가 인다는 거지.
21740	19676	3	니가 말을 그렇게 하잖아.
21741	17106	1	너무 매너 없는 행동 아니야?
21742	23450	1	할머니. 할머니는 꿈이 뭐였어?
21743	46237	1	이번에 나 첫월급 받았잖아. 용돈.
21744	24822	1	그럼~ 아빠가 이 나이까지 술을 잘 마시는 데는 다 노하우가 있는 거다.
21745	12698	1	저 안에 든 거 뭔데요?
21746	25132	3	 당신 지금, 돈 벌어 오는 걸로 그렇게 유세부리고 있는 거야?
21747	26420	2	저는 너무 비싼건 필요 없고… 그냥 제일 기본적인거 사면 돼요.
21748	71691	7	오 역시. 그럼 내놔봐.
21749	55606	7	그래 정말 고맙다 지우야. 진짜로 고마워. 내가 재하한테 연락하라고 할게.
21750	51424	5	"…지금 저한테 무슨 부탁을 하시는 지는 알고 계신가요?	 저한테 지금 친딸을 만나지 말라고 하시는 건가요?"
21751	76470	6	원래 인생이 이렇게 힘든 건가요?
21752	2510	7	그렇지.
21753	15440	4	비밀로 하려고 그런 게 아니라…! 좀… 나도 정리가 되고, 마음의 준비도 하고 그런 다음에 이야기를 하려고 했던 거지.
21754	34672	4	친구가 엘리베이터에서 귀신 본 이야기 해서, 무섭단 말이야…
21755	39784	2	그런게 아니라…그 분이 착각을 좀 하신 거 같아요. 분명, 시럽 빼달라고 하셨어요.
21756	39304	2	그때는 민철이가 참 착했어요.
21757	37733	2	어머.. 그럼 뭐… 빚 때문에 그랬다는 거야?
21758	19475	7	그래서 가까운 친척분들만 모시고 식사하기로 했어요.
21759	18692	7	이모... 내가 생각을 해봤는데.
21760	8954	6	뭘 다 커 니가. 아직 핏덩이같은데.
21761	53842	6	지금 엄마 낮잠 자려고 그랬는데?
21762	4387	4	정말 죄송합니다…
21763	35698	3	신분증? 이거 웃기는 녀석이네. 나 경찰이야. 몰라?
21764	76221	3	개꿈일거야.
21765	38935	0	어린 놈이 어디서 도끼눈을 떠?!
21766	37846	4	네. 형님.
21767	58695	5	너 친구들도 많이 왔지?
21768	74916	2	음 그래. 가슴 답답하고, 자꾸 졸음이 오는 것이, 암 같어.         아 큰일 났다고.
21769	56567	6	그래요? 몇 시 표세요?
21770	2409	7	감사합니다.
21771	65026	0	아버지. 이제 고집 좀 그만 부리세요. 저희 생각도 좀 해주세요.
21772	11809	1	그냥… 요즘 세상이 흉흉하니까… 걱정되서 그러지.
21773	11110	0	아니 니 말버릇이 안 좋으니까 그렇지.
21774	14386	0	왜 자꾸 줄여 말해. 이상하게! 돼지 저금통이라고 해. 그리고! 그거 몰래 썼다가 엄마한테 걸리면, 나 진짜 죽어. 맞을지도 몰라.
21775	25114	1	그럼 내가 가서 얘기할까?
21776	25980	3	야 야. 됐다. 됐어. 말을 말자.
21777	53860	2	네! 우리엄마는 햄 못 먹게해요.
21778	10852	7	음...두부!
21779	46637	1	호텔 관리나 고객 유치, 호텔 브랜드 마케팅 같은 거 배우지 않을까?  그런 거 배우고 싶어서 거기 썼어.
21780	5059	0	누구 맘대로 별거 아니라는 거야?
21781	27837	2	어. 금요일인가? 홍천으로 다녀왔다며.
21782	16673	1	올 때, 또 빈 손으로들 오겠어? 다 돈 봉투 챙겨오지.
21783	29233	3	낚시 하려면 당연히 배 타고 나가야지. 아빠가 배도 다 예약해 놨어.
21784	12252	1	면접 일자가 잡혀서, 입고 갈 옷을 사려고요.
21785	11122	3	아빠 맨날 잔소리 하잖아.
21786	72787	7	알았어. 그럼 올 때 아이스크림.
21787	72872	7	음… 꽃 같은건 어때?
21788	38338	0	장난 그만 하시고요. 진지하게 들으세요.
21789	6181	0	왜 소리를 지르고 그러세요?
21790	74910	6	아 그런 건 아니고. 그냥 답답-해.
21791	38132	4	데료다 줘.
21792	54148	2	음… 엄마만 알고 있어야 돼?
21793	42743	2	맞아요… 카페인 엄청 많이든거…
21794	40177	0	알았어 아가씨. 그냥 주의해 달라고 말하는 거잖아요.
21795	61357	4	오빠, 대학이 인생에서 진짜 중요해?
21796	38663	0	에이, 이 근방은 다른 부동산 가도 뭐 없어. 여기서 해결해.
21797	48989	7	잠깐만 잠깐만.  할아버지가 용돈 주마.
21798	31543	1	그래도 내가 한 번 말해 볼게.
21799	59838	4	그치 형 스물 다섯, 나 스물 셋에 돌아가셨으니까.
21800	78424	6	선생님이 잘 말해줄 수 있는데.
21801	9612	6	아 됐고, 난 지금 늦었고 피곤해서 안 나갈거야.
21802	29277	7	아빠가 살아보니까, 공부만이 능사가 아니더라.
21803	30411	7	저보다 나이가 많으면 선배님! 이라고 불러야 된다고 배웠어요.
21804	53609	6	답답한 소리 하시네. 요즘은 민정이 때랑 또 달라요. 유치원부터 시작하는 애들이 태반인데.
21805	45159	4	외로운가봐.
21806	57254	0	몰라서 물어?
21807	39816	0	으아아…!
21808	60114	4	그러니까요.
21809	38878	5	오... 그래, 이제야 본색이 나오는구나?
21810	33094	3	네. 엿 같아요.
21811	12236	5	응. 왜?
21812	30285	4	형은 싸움 하나도 못 하잖아.
21813	28551	7	네 알겠습니다 선생님!
21814	45107	5	너가 공부 싫으면 어떡하냐.
21815	35914	0	그럼. 너 진짜 30대에 꼭 결혼해야된다고 생각해?
21816	58846	4	전 남자친구...
21817	23862	1	어. 그리고, 중식 만두는 좀 더 육즙이 많은 것 같아. 고기를 좋은 것 쓰는 건가?
21818	78936	6	조금만 기다려봐. 지금 타이밍 보고 있어.
21819	77871	6	걔가 먼저 시작했어!
21820	64313	0	정신이 똑바로 박힌 놈이야?
21821	35740	0	왜요!
21822	4420	4	1년 정도.. 된것 같은데 아직 약정이 안 끝나서요.
21823	54656	6	체육 시간 울렁증은 아니고?
21824	66224	0	 알겠어요. 근데 제가 알아서 할게요.
21825	55598	5	 그런 일이 있었니? 재하가 많이 잘못했네.
21826	40121	3	그런데 다 드셨네요?
21827	61273	5	 으악. 아파요.
21828	14801	5	아니 오빠, 요즘 들어 갑자기 먹는 양이 확 늘었어. 무슨 겨울잠 자려고 준비하는 곰마냥 먹어대잖아.
21829	52400	3	삼촌 그러다가 금방 노총각 돼.
21830	41907	4	나는 몰랐지… 그런 걸줄은…
21831	53421	5	아니, 워크샵이 2주도 안 남았는데 지금까지 찾고 있으면 어떡해?
21832	69053	4	"저번에 왔을 때도 그렇게 말 했었잖아. 	선생님이 도와줄게. 정말 괜찮아."
21833	78475	6	누나가 자꾸만 놀려요.
21834	36511	0	누가 지금 똑같이 사랑하는지 아닌지 물었어요? 동현이 남자애라고 돈 더 주신거잖아요. 다 알아요!
21835	14810	5	그런가.. 내가 좀 많이 먹는 건가?
21836	46564	5	헐 그럼 한국 고등학교 나와서 외국 대학 가는 애들이 제일 불쌍하네? 대체 몇 년을 빡쎄게 공부하는거야?
21837	6999	3	아빠! 이젠 거짓말까지 하려고 그러는 거야?
21838	26414	2	알았어. 알았어. 당장 사줄게.
21839	44875	1	네 알겠습니다. 이따가 2시까지 오세요.
21840	64260	5	"어. 고등학교 때 처음 사겼을 때부터…….	 니 엄마는 솔직한 게 매력이잖아?"
21841	15752	1	잘 생각 해봐. 내가 시급 2천원 올려 줄게. 이 정도면 파격 인상이다.
21842	66227	0	"단어를 스무개 밖에 안 외웠어? 	영어는 단어가 생명이야. 문법 이런 것보다 뜻을 알아야 말이 통하지. 못해도 하루에 50개씩은 외워."
21843	48378	5	왜.
21844	27620	3	핑계가 좋다 핑계가. 그러면 니 여동생은? 걔는 지 알아서 대학가고, 취직하고 다 하는데! 너는 왜 못해?
21845	38704	5	사기? 내가 무슨 사기를 쳐?
21846	26587	3	아빠…. 어떻게 말씀을 그렇게 하세요.
21847	76547	6	야. 그냥이 뭐야.  이모 결혼식 날인데, 인심 좀 쓰지!
21848	58758	4	사람도 좋고, 성격도 잘 맞고 그랬는데,       왠지, 평생을 같이 할 수 있을거라는, 생각은 안 들더라고.
21849	78043	6	"누가 그런 유언비어를 퍼뜨려?	 엄마, 너 대학교 가고, 직장가고,  결혼해서 애 낳는 것까지 다~ 보고 죽을거야. 100살까지 살다 갈 거야!"
21850	5037	5	영화? 그럼 돈은 별로 못 벌겠네.
21851	39747	3	 입 닥치라니까?
21852	74707	6	"밖에 오래 꺼내놨어? 	상한 것 같은데."
21853	8304	6	신입사원들 등산 동아리 자동 가입, 한 달에 한 번 등산 행사 필참인 거, 경력직으로 들어온 조 과장도 알지? 근데 재호 씨가 거기에 반기를 들고 나서더라구. 우리 본부장님까지 계신 자리에서 말이야.
21854	19177	7	당연히 만날 수 있지!
21855	30669	7	그리고, 소주랑 맥주랑 섞어 먹으면 또 그 맛이 장난 아니야.
21856	24743	3	아니 걔 맨날 씻지도 않고 잠이나 퍼자던 애가 요즘 들어 부쩍 위생에 신경을 쓰는 것 같기도 하고.
21857	55652	6	박 형사. 바빠?
21858	35521	4	넌 중학교 어디로 가고 싶어?
21859	45826	5	아니 저번에. 아빠는 시골에서 불도 없어서 달빛에 공부했는데도 전교 5등 안에 들었다던데?
21860	54726	2	 아!..아파. 아야!
21861	70700	4	"진짜 죄송해요. 	저는 진짜 모르고."
21862	1100	6	아 왜. 축구 보자.
21863	63397	5	그러면 어떡하지?
21864	56200	7	보냈어 언니.
21865	68888	4	어. 환청이나 환각을 느끼다가, 뛰어내리는 사람이 많았대, 그 약을 먹고.    혹시, 보민이도 그 약을 먹은 게 아닐까...?
21866	7030	3	에이. 엄마가 뭘 그런 걸 물어봐. 하루 정도는 그냥 시켜 먹어도 괜찮아. 후라이드 치킨 한 번 봐라. 튀김 옷에 탄수화물, 살코기에 단백질, 거기다 지방. 완전식품이라니까.
21867	45625	0	너 진짜 왜 그래. 남자친구 사귀라더니, 맘이 바꼈어?
21868	46949	5	너 엄마 몰래 10만원 꿍쳐놨잖아. 그걸 벌써 다 썼어?
21869	75674	2	 ….아닌데요.
21870	64819	4	니 엄마가 가버렸는데 돌침대가 다 무슨 소용이냐….
21871	39232	2	흡기 클리닝 하면 좀 낫나요? 사람들이 돈 낭비라고 하기도 하던데…
21872	38516	3	이 사람이 진짜... 그 따위 생각을 가지고, 우리 아저씨를 돌봤어요? 그간에?
21873	8705	6	뺄 살이 없긴.. 나 빼고 다 다이어트해
21874	2033	7	아 네. 감사합니다.
21875	26726	2	알겠어요.... 어떻게든 다음주까지… 가져 올게요.
21876	72791	7	왔어? 아이스크림은?
21877	20582	1	엄마 아빠 오늘은 어제처럼 늦지는 않을 거라고, 아까 연락 왔었어. 조금만 더 기다리자. 지은아. 엄마랑 아빠랑 같이 먹어야 맛있게 먹지.
21878	55335	7	아니에요. 괜찮아요. 신경써 주셔서 감사해요.
21879	51450	5	어머 안녕하세요. 세희 어머니… 맞으시죠?
21880	15412	4	그래.. 뉴스에 자꾸 나오더라.
21881	8672	6	뭘 어떻게 돼 진희는 지가 10년 이상 하던거를 미숙이가 오자마자 하겠다고 하니까 기분이 상해버린거지
21882	24091	3	할머니도, 오늘 뜬 눈으로 밤을 지새우게 생겼다.
21883	28022	7	술도 마셨어?
21884	4041	4	엄마는 좀 어때? 좀 나아졌어?
21885	49943	7	네…. 근데 저는 아빠 닮았대요.
21886	35491	4	남자가 다시 환생을 하면 여자는 이미 늙어서 죽겠지.
21887	64962	4	예. 미국으로 이민 갔다가, 지금 아버지가 편찮으셔서 잠깐 들렀어요.
21888	66057	4	그럼 할아버지 은퇴는 언제 하셨어요?
21889	40144	3	그럼 됐죠?
21890	44660	1	오오, 로맨틱하네. 성공적이길 빌어요?
21891	63805	5	심부름하면 엄마가 돈 줘요.
21892	43328	3	몇 만원씩 하는 술값은 안 아깝고 과자값 천오백원은 아깝냐.
21893	4048	4	집에서 쉰다고 마음이 편한 것도 아니야
21894	6830	4	걔 자기 태권도 다닌다고, 조금 이따 검은 띠 딸 거라고 엄청 자랑하고 다닌단 말이야.
21895	71738	4	음.. 제가 동생을 처음 때렸던 순간입니다.       동생이 이제 막 걸음마를 떼던 때였는데, 저는 그 때 당시에       동생이 너무 미웠어요. 엄마도 아빠도 동생만 신경썼거든요.       그래서 동생이 일어서지 못하게 자꾸 동생을 밀어서 넘어뜨렸어요.      그런데 동생은 울지도 않고, 계속 일어나더라고요.      그게 너무 미워서 동생을 때렸어요.       그러자 동생이 무시무시하게 큰 소리로 울었어요.       마치… 자기도 여기 있다고, 누군가한테 말하는 것 같았어요.
21896	6942	4	그래, 선생님이 얼른 가 봐야겠다. 알려줘서 고마워, 지은아. 참, 다른 애들에게도 말해 줘. 재동이 놀리지 말라고.
21897	50293	7	아들, 산타 할아버지한테 선물 뭐 달라고 빌었어~?
21898	25514	1	나 이제 운동 좀 시작하려고… 아무래도 안 되겠어.
21899	50208	0	뭐라고 이놈의 시키야. 너처럼 천하태평한 초등학생이 어딨다고,  스트레스 핑계를 대셔. 엄마 말처럼 일찍 자고 일찍 일어나고, 밥만 잘 먹어봐. 잭과 콩나무처럼 쑥쑥 자랄 걸.
21900	63524	5	안 단 거? 누가 먹을 건데?
21901	48353	7	그러게. 그래도 언니는 회사 생활 잘 하는 거 같어.
21902	59402	5	사랑한다고요?
21903	40312	5	아니에요! 이 책 제가 진짜 좋아해요!
21904	39820	5	날? 자기야… 나 때릴 데가 어딨다고…
21905	75962	2	네, 저 잠깐만 뭐 좀 물어봐도 돼요?
21906	2704	7	 네. 선생님 너무 감사합니다. 정말 너무 감사합니다.
21907	22347	1	응. 내가 이번에 방학 때 해외 봉사 다녀왔잖아.
21908	24392	3	괜찮다니까 그러네.
21909	59010	4	그래. 근데 계약은 어떻게 해. 위약금 물려줘야 되는 거 아니야?
21910	13781	4	혜리가 좀 집에 자주 오면 좋겠는데..
21911	39259	4	그렇겠죠… 타이밍 벨트도 큰 맘 먹고 교체 했는데…
21912	48310	7	그래! 빠샤!
21913	55951	7	그래. 그럼 나 다음에 형 차 한 번 타봐도 되나?
21914	1772	7	항공권 같은 건 걱정 마. 내가 알아서 다 알아 봐 둘 테니까.
21915	38678	4	저도 그 집이 제일 마음에 들긴 하는데. 좀 고민이 되네요.
21916	35734	0	경찰이면 그렇게 아무거나 막 물어보셔도 된다는거에요?!
21917	53115	6	그런게 어디있어.
21918	8370	7	 아이고, 바쁘실텐데 귀중한 시간 내 주셔서 감사합니다. 유튜브에서 대표님 인터뷰를 보고, 정말 너무너무 뵙고 싶어서 이렇게 연락드렸어요.
21919	44824	1	병원 가니까 마취주사 엄청 놓더만, 술이나 주사나 둘다 알콜 아니냐.
21920	5113	5	어머, 동수 아빠 말려, 언니. 사채 그거 그러다가 큰일 난다니까?
21921	14100	1	어. 꼭 만화 같아.
21922	70615	3	그러니까. 우리 누나가 왜? 어디가 그렇게 좋은데요?
21923	7123	0	아니야! 아니라고! 나 소정이 진짜 좋아한단 말이야! 아빠는 아무 것도 몰라!
21924	14712	1	아니야. 어제 아빠가 다 먹었어.
21925	47580	0	니가 먹었나보지! 몽유병처럼 자다가 나와서 먹었나보지!!
21926	1715	7	알았어. 근데 자기 요새 요리 실력이 많이 늘었더라?
21927	14141	1	잘 봐. 내가 택수 그리는 거 보여 줄게.
21928	1826	7	그럼 내일은 일찍 들어오는 거지?
21929	62111	6	"엄마도, 인생이 허무해서 그래. 	 뭐라도 사람구실을 하고 싶어서."
21930	18989	3	왜 또 부르셨어요.
21931	16526	1	생각해보니까 빵이라도 좀 사갈 거 그랬어.
21932	62714	0	야!
21933	38100	2	그건 좀…
21934	39422	5	아무것도 안했는데요?
21935	8248	6	난 진짜 한 대리가 그런 사람일 줄은 몰랐다니까. 심지어 같이 점심 먹었던 날에는 나보고 좋은 결과 있길 바란다고 말했다구.
21936	50621	0	야 김준성. 너 뭐라고 했어?
21937	7260	0	발레? 그거는 너 세살 때 잠깐 배운거지… 이젠 공부해야 해서 발레 같은 건 못 배워. 남들 다 공부 열심히 해서 앞서 나가는데 너만 뒤처질래? 그건 싫잖아.
21938	28869	2	공포영화를 보면....?
21939	10255	0	정신차려 그냥 살면 돼.
21940	73250	7	" 좋은 사람. 	엄청 좋은 사람."
21941	38053	3	서른 중반이 다 되도록, 뭘 했나? 어?
21942	56303	7	어. 우리 비행기 타고 차 타고 왔잖아.
21943	38014	0	뭐? 안된다는거야?
21944	23055	1	그래도 좋겠다, 이제 새 집 들어가겠네.
21945	36027	3	아… 그 때까지 뭐 먹고 살아요…
21946	65758	4	"됐어. 지율이가 삼촌 귀엽다던데? 	 소개시켜줄까?"
21947	12410	1	앞 번을 탄 사람들이 이자를 다달이 붙여 내게 되니까.
21948	61905	0	엄마가 뭐 헬스야. 나 운동 할거야. 공부 하려면 체력 좋아야된단 말이야.
21949	58755	4	지금 한 사 년정도 됐지.       요즘 슬슬 결혼 얘기 나오는데. 사실 잘 모르겠어.       이모도 이렇게 오래 만난 사람 있었어? 아 이모부랑은 얼마나 만났지?
21950	28308	3	아빠가 뭔 고생을 했어….. 정작 그 학교 다니느라 생고생하는 사람은 난데 아빠가 뭔 고생을 했냐고.
21951	40100	0	내가 왜 선생님이야?
21952	29615	1	어. 근데 우리가 가면 맨날 먹는 메뉴가 있단 말이야.
21953	61980	6	결혼 생각 없다니까.
