	multimodal_emotion	text_script
71586	5	 썸? 누군데?
71587	7	몰라. 친구가 소개해줬어. 걔도 UFO 좋아한다 해가지고.
71588	6	근데 걔는 왜 여기 안 왔대?
71589	4	걔는 동아리 같은 거 안 한대. 혼자 노는게 좋대.
71590	6	뭐야. 나도 그래. 무슨, 지만 엄청 잘난 줄 아네.        좀 재수 없는 타입?
71591	6	그게 아니고. 말주변이 없어서, 애들이랑 같이 있으면      미안하대. 그래서 그냥 이렇게 톡하고 그런게 더 좋대.
71592	6	찌질한 새끼네.
71593	0	너 왜 말을 그따구로 해? 알지도 못하는 애한테.
71594	6	 내가 언제? 그냥 사실대로 말한건데?
71595	3	뭐야. 나한테 왜 짜증이야. 너 뭐, 생리라도 하냐?
71596	6	뭐? 난 남잔데 무슨 생리야.
71597	3	야 개그친거잖아 개그. 무슨 개그를 구분도 못하냐.
71598	6	 ………너는 맨날 그러더라?
71599	0	아 뭐가.
71600	0	나 무시하는거. 맨날 개그도 이해 못 한다 그러고,        마마보이라고 무시하고, 뭐 잘 모른다고 무시하고.
71601	6	내가 언제. 그런 적 없어.
71602	3	너 맨날 그래. 내가 동아리 하기 싫다고 했을 때는       애가 사회성이 없다고 뭐라 그러더니.        걔한테는 왜 그런 말 안 하냐?
71603	3	 뭐?
71604	6	야 너 진짜 갑자기 왜 그래? 뭐 잘못 먹었냐?        내가 너한테 뭘 그렇게 잘못했는데?         너 설마, 질투라도 하냐?
71605	5	뭐라고?
71606	6	아니 그렇잖아. 내가 남자랑 톡 한다고…. 갑자기 화내니까.
71607	3	그런 거 아니거든.
71608	7	 뭐야. 진짜잖아?        너 질투하냐?
71609	0	아니야. 내가 왜 질투를 해.        너가 남자를 만나든 말든, 내 알 바 아니거든?        난 그냥 너가 차별 대우하는게 어이가 없는거야.
71610	6	알았다 그래. 암튼, 남의 사생활에 관심 꺼.         어?
71611	5	왜.
71612	5	 야!!! 너 못 봤어?
71613	5	뭔데? 설마.
71614	5	진짜야 진짜. UFO를 봤다고!!!!
71615	5	어디에? 안 보이는데....
71616	7	아씨. 엄청 빠르게 지나갔어. 이 근처에 있을 거 같은데.       자리를 옮겨보자. 저쪽으로 간 것 같애.
71617	1	근데, 그렇게 빠른 우주선이, 아직도 근처에 있을까?       벌써 한참을 갔을 것 같은데….
71618	3	잔말 말고 따라와.
71619	3	너 땜에 놓쳤잖아.
71620	5	내가 뭘.
71621	6	너가 늑장 부려서 놓친거잖아. 책임져.
71622	3	그게 왜 나 때문이야. 그냥 UFO가 겁나 빠른거지.       그걸 우리같은 인간이 따라잡는게 말이 되냐.
71623	4	됐어. 아, 진짜 이번엔 진짜로 본 것 같은데…
71624	7	잠깐이라도 봤으면 됐지.        UFO, 진짜로 있는 거네 그럼.
71625	7	 그러네. 진짜네. 진짜 있네.        그래도 너랑 있어서 그런가? 운이 좀 좋았던 거 같애.
71626	6	갑자기 왜 그래? 
71627	7	그냥. 기분 좋아서. 으아. 소리 지르고 싶다.
71628	6	그럼 질러.
71629	5	이 밤에?
71630	1	뭐 어때. 주변에 아무도 없는데. 들어봤자 벌레들이나 듣겠지.
71631	7	좋았어.        안녕! 만나서 반가웠어!        다음에, 우리 엄마 만나면, 안부 꼭 전해줘.
71632	5	누구한테 소리 지르는 거야?
71633	7	누구긴 누구야. 외계인들이지.
71634	3	바보냐. 외계인들이 지구인 말을 어떻게 알아. 거기다 한국언데.        한국어를 아는, 외계인이 몇이나 되겠냐?
71635	6	야, 걔네는 다 번역기 있을 거야.
71636	1	야, 너 뭐해?
71637	7	 나? 톡하는데?
71638	5	그… 남자애랑?
71639	7	어.
71640	5	너 걔 얼굴은 봤어?
71641	7	봤지.
71642	5	 언제?
71643	7	어제.
71644	1	어디서?
71645	7	만났지. 같이 아이스크림 먹었는데?
71646	6	나한텐 말도 없냐.
71647	3	내가 왜 너한테 말을 해야 돼?
71648	1	그냥…. 친하니까?
71649	7	 우리 친하냐?
71650	5	친하지. 그럼 아니냐?
71651	7	친하긴 하지. 근데 남자애랑, 이런거 이야기해본 적 없어서.
71652	1	앞으론 나한테도 보고 해. 걔랑 뭐 하는지.
71653	3	왜?
71654	1	왜긴 왜야. 궁금하니까.
71655	5	왜 궁금한데?
71656	6	…..사는게 심심해서 그런다 왜. 친구한테 그 정도도 얘기 못해주냐?       남 연애하는게 세상에서 제일 재밌대.
71657	6	연애하는 거 아니거든?
71658	1	그럼 뭔데?
71659	6	뭐가.
71660	6	연애 아니면 뭐냐고.
71661	6	그냥 썸타는 거라고 했잖아. 그리고 썸인지도 모르겠어.       그냥 좋은 친구 같애.
71662	6	잘생겼냐?
71663	5	어?
71664	6	걔. 잘생겼냐고.
71665	7	몰라. 내가 그런걸 어떻게 알아.
71666	6	왜 몰라. 어제 봤다며?
71667	6	그냥 생겼어. 뭘 그런것까지 물어보냐.
71668	1	아니, 너가 어떤 마음이냐고.
71669	6	나도 모르겠어. 그냥 톡하면 재밌긴 한데,         뭐 딱히 설렌다거나 그렇진 않고.
71670	1	 그래? 그럼 썸 아니네.
71671	7	그치? 썸 아닌 것 같애.
71672	1	걔는 어떤데? 걔는 너 좋아하는 거 같애?
71673	7	 어? 아….. 그런가?
71674	5	뭐야. 어떤데?
71675	7	그냥. 자꾸 나한테 이쁘다던데?
71676	3	으. 오글거려. 그런 말을 직접 한다고? 입으로?
71677	3	그럼 입으로 하지. 발로 하냐?         너는 어떻게 생각하는데?
71678	5	뭐?
71679	7	니가 봤을 때, 나 어떠냐고.
71680	1	어?
71681	7	예뻐?
71682	5	어….안 예쁘진 않아.
71683	7	그게 뭐야.
71684	3	아 몰라. 왜 그런걸 물어. 그런 말 잘 못해.
71685	7	 바보냐. 왤케 부끄러워해.        그냥 객관적으로 말하면 되지.
71686	3	너는 그게 쉽냐.
71687	7	난 쉬운데? 저번에 말 했잖아. 너 잘생겼다고.
71688	1	그거야….
71689	7	암튼, 쓸 데 없는 거 궁금해하지 말고. 수업준비나 해.        숙제는 했냐?
71690	1	했지.
71691	7	오 역시. 그럼 내놔봐.
71692	3	뭐?
71693	6	나 좀 베끼게 내놔보라고.
71694	3	와 완전 날강도네.
71695	7	 이렇게라도 해야, 뒤에서 2등이라도 하지 않겠냐?
71696	3	잘났다 그래. 숙제 보여주면, 이따 떡볶이 살거냐?
71697	7	 그래. 까짓거. 사줄게.
71698	1	김말이도?
71699	7	콜.
71700	1	나부터 시작할게.
71701	7	응.
71702	1	가족관계는 어떻게 되시나요?
71703	4	음. 어머니는 돌아가셨고, 아버지는 재혼을 하셨습니다.        오빠 한 명이 있는데, 고등학생이라서 얘기는 잘 못 해요.
71704	5	오빠가 있었어?
71705	1	말한 적 없나? 우리 오빠 지금 고2.
71706	5	나이 차이가 좀 나네.
71707	7	그래서 좋아. 오빠가 나 용돈도 줘.
71708	5	고등학생인데 용돈을 어떻게 줘?
71709	7	오빠 알바하거든. 편의점에서.
71710	5	왜 벌써 알바를 해?
71711	4	용돈벌이 하는거지 뭐. 용돈 달라고 하기엔        새엄마 눈치보이니까. 나도 그렇고.        나도 얼른 커서, 돈 벌고 싶다.        아빠랑 새엄마한테 손벌리기 싫어.
71712	7	멋있다. 그럼 너도 고등학교 가면, 알바할거야?
71713	4	해야지.
71714	5	미성년잔데, 어떻게 알바를 해?
71715	4	다 받아주는데가 있어. 그만큼 열악하겠지만.
71716	2	그런거 함부로 하면 안 되는데…. 돈도 엄청 쪼금 줄걸?
71717	7	그래도 주긴 주잖아. 아예 안 버는 거보단 낫지.        나는 돈 모아서, 세계여행 갈거야.
71718	5	세계여행?
71719	1	어. 나는 유럽도 가고 싶고, 남미도 꼭 가고 싶어.
71720	5	왜? 남미 위험하지 않나…
71721	1	뭐 어때. 죽기야 하겠어? 남미가 그렇게 좋대.
71722	1	그렇다고 하더라. 나는 유럽은 가봤는데, 좋긴 했어.
71723	5	우와. 유럽을 가봤어? 너네집 잘 사나보다.
71724	1	그냥. 어릴 때 엄마 따라서 간 거야.
71725	7	가서 어디어디 갔어? 프랑스? 영국?
71726	1	뭐 그런데도 가고, 스위스랑 독일도 가고.        근데 동유럽 쪽은 못 가봤어. 체코도 가보고 싶은데.
71727	1	우와 멋지다. 거기서 뭐가 제일 좋았어?
71728	7	음… 나는 스위스가 엄청 좋았어.       내가 갔을 때, 눈이 엄청 내렸거든. 그래서 버스에 갇혀서      한참동안 앞으로 못 갔었어. 근데 그 시간이 너무 좋더라.
71729	4	진짜 좋았겠다. 나는 여행 진짜 너무 가고 싶은데,        우리 아빠는 여행 별로 안 좋아하셔.        마지막으로 갔던게 엄마랑 갔던 담양 여행이었는데.        그 때 대나무 숲이 진짜 너무 예뻤어.
71730	7	우와. 나는 거기는 못 가봤어. 좋았겠다.
71731	7	응. 거기서 막 대나무 안에다가, 밥을 넣은 것도 먹었는데       밥에서 대나무 향이 엄청 나고. 진짜 맛있었어.
71732	7	나도 다음에 꼭 가보고 싶다.
71733	7	응 진짜로. 진짜 꼭 가봐.        우리 그럼, 그냥 주말에 한 번 가볼까?
71734	1	주말에? 그래 좋아.        근데 우리 이거 하긴 해야 되겠다. 시간 많이 지났어.
71735	1	아 맞다. 그럼 이제 내가 물어볼게.       음. 가족관계는 어떻게 되시나요?
71736	1	음… 일단 어머니, 아버지, 그리고 동생이 한 명 있습니다.        어머니는 초등학교 선생님이시고, 아버지는 방송국에서 일하세요.       동생은 이제 여섯살인데, 지체장애 2급입니다.
71737	4	 네… 가족들과 있었던 일 중에       가장 기억에 남는 순간이 있나요?
71738	4	음.. 제가 동생을 처음 때렸던 순간입니다.       동생이 이제 막 걸음마를 떼던 때였는데, 저는 그 때 당시에       동생이 너무 미웠어요. 엄마도 아빠도 동생만 신경썼거든요.       그래서 동생이 일어서지 못하게 자꾸 동생을 밀어서 넘어뜨렸어요.      그런데 동생은 울지도 않고, 계속 일어나더라고요.      그게 너무 미워서 동생을 때렸어요.       그러자 동생이 무시무시하게 큰 소리로 울었어요.       마치… 자기도 여기 있다고, 누군가한테 말하는 것 같았어요.
71739	4	…..그래서. 어떻게 됐나요?
71740	4	그 뒤로는 한 번도 동생을 때린 적 없어요.        동생을 미워하지도 않고요. 동생은 그냥 태어나버린 거니까.        사실 걔는 잘못한 게 하나도 없으니까.
71741	4	바보.
71742	5	뭐?
71743	4	너는 바보야.
71744	4	나도 알아.
71745	6	아 배고프다.
71746	2	그러게. 계란튀김도 시킬 걸 그랬나?
71747	1	아니야. 떡볶이랑 김말이만 해도 배 엄청 부를 듯.
71748	2	그래도 모자란거보다는 남는게 낫지 않아?
71749	1	그런가. 암튼 빨리 나왔으면 좋겠다.
71750	2	그러니까.  근데, 우리 진짜 담양 가?
71751	5	어?
71752	7	아까 수업 시간에 얘기했었잖아. 너 진짜 마음 있으면      유사모 애들이랑 같이 가자.
71753	5	UFO가 나온 것도 아닌데? 애들한테 뭐라고 하게?
71754	1	음…. 아니야. 제보가 있어.
71755	5	진짜로? 무슨 제보?
71756	2	내가 봤거든 그 때. 엄마랑 같이 대나무숲에 있었는데.       저쪽에서 뭔가 반짝거리는거야.
71757	5	헐. 그게 UFO였어? 확실해?
71758	1	그렇지 않을까? 가보면 알겠지 뭐.
71759	2	근데 그건 너무 옛날이잖아.
71760	1	그냥 겸사겸사 가는거지 바보야.        쨌든 애들한테 얘기해본다? 너도 갈거지?
71761	7	다들 가면 나도 가지 뭐. 재밌겠다.
71762	7	어. 거기서 꼭 죽통밥도 먹자.
71763	5	그게 뭔데?
71764	6	아까 얘기한 거! 대나무 안에 밥 넣어서 먹는거.
71765	6	애들은 무슨 여기까지 와서 놀이공원이냐.
71766	1	그러게. 놀이공원이라고 해봤자 엄청 작을텐데.        나는 여기서 대나무 숲이나 바라보는 게 더 좋아.
71767	7	나도. 근데 진짜 이쁘다.         여기 있으니까, 무슨 드라마 주인공 된 것 같애.         왠지 갑자기 자객이 튀어나올 것 같고.
71768	7	그치. 진짜 좋지?         가만히 있으면, 대나무 잎들이, 바람에 흔들리는 소리가 들린다?
71769	5	진짜?
71770	7	응. 야, 지금부터 한 10초만, 아무 말도 하지 말고 있어보자.
71771	7	그래.  우와 진짜 들린다!
71772	6	 아 10초만 아무말 하지 말라니까?
71773	7	아 미안. 바람 소리 들으니까 마음이 엄청 편안하다.        눈 감고 있으면, 바닷가에 온 것 같기도 하고.        왜, 파도가 밀려오는 소리 있잖아.
71774	7	맞아. 그 소리랑 비슷한 거 같기도 하다.
71775	7	여기 데려와줘서 고마워. 괜히 나 때문에 온 거잖아.
71776	5	엥? 아닌데? 나도 꼭 다시 와보고 싶었어.        그래서 온거야. 너 때문에 온 거 아니거든?
71777	6	그럼 말고. 그럼 고마운 거 취소.
71778	6	야, 그렇다고 취소까지? 치사하다 치사해.
71779	2	너무 했나?
71780	6	어. 너무 했어.
71781	6	아 애들 올 때까지 뭐하지? 좀 심심하네.        UFO도 언제 올 지 모르겠고.
71782	2	그러게. 그럼, 무서운 얘기나 할까?        대나무숲 하면 무서운 얘긴데.
71783	2	으. 나 그런거 진짜 무서워하는데?
71784	1	뭐 어때. 지금 완전 밝은데. 그리고 내가 있잖아.       귀신 나오면 내가 때려잡아 줄게.
71785	6	너같이 쪼그만 애가 누굴 때려잡냐?        그냥 내가 때리는 게 낫겠다.
71786	1	그럼 같이 때려죽이자.
71787	2	근데, 귀신도 죽나?
71788	2	글쎄…. 그래도 힘이 약해지지 않을까?
71789	2	아니야. 귀신은 때리는 걸로 아파하진 않을 것 같애.      뭔가 귀신이 무서워하는 걸 준비하자.
71790	5	그게 뭐지?
71791	6	팥이라든가, 십자가라든가, 그런거 있잖아.
71792	2	음….. 귀신은 빛을 싫어하니까. 지금은 괜찮을 거야.
71793	1	그래. 그럼 어디 한 번 얘기 해 봐.
71794	7	오~ 밝아서 괜찮다 이거지?
71795	2	아, 근데 이따 밤 되면 무서울 거 같은데.       나는 남자라서 화장실도 애들이랑 같이 못 간단 말이야…
71796	7	 야 그냥 같이 가면 되지. 그게 무슨 상관이야.
71797	6	니가 남자애들을 몰라서 그래. 평생 놀릴걸?
71798	2	좋아. 그럼 시작해볼게. 옛날에, 한 여자가 무당을 찾아갔대.        점을 볼려고. 근데 그 무당이 그랬다는거야. 아무 것도 안 보인다고.
71799	5	헐? 왜?
71800	2	그러니까. 그 여자도 그렇게 물었더니,        무당이, 아무래도 그 여자의 기가 너무 쎄서, 그래서 그런 것 같다고       자기보다 더 강한 무당을 찾아가라고 했대.
71801	2	 그래서?
71802	2	여자는 그렇게까지 점을 보고 싶지 않아서, 그냥 그대로 살았지.        그렇게 몇 년이 지났는데, 사는 게 잘 풀리지가 않으니까.        점을 보고 싶었던 거지. 그래서 여자는 서울로 가서 점을 보기로 했어.
71803	5	응. 그래서, 거기서는 사주가 나왔대?
71804	2	들어봐봐. 여자가 서울에 유~명한 무당을 찾아가서, 딱 들어가니까.       그 무당 코에서 막 피가 터지고, 한 순간에 촛불이 다 꺼지더래.       무당은 겁에 질려서 도망가고. 여자는 이상하게 생각했지.        자기도 좀 무서웠을테고.
71805	2	헐…. 그 여자가 얼마나 기가 쎈거야?        그 정도면 거의 자기도 무당인 거 아니야?
