text_script	multimodal_emotion
이천??? 그게 어디야.	0
또 어디가냐?	3
저 그럼 자리 비켜 주시겠어요?	0
그니까. 예약도 겨우 했다니까	6
 아 네~ 알겠어요. 그러면 제가 해드릴게요. 잠시만요.	7
피지컬이 안되면 그냥 바둑이나 장기를 두세요 그럼.	3
너 철봉 해봤어?	1
... 이모도 싫어?	1
그치? 사람들이 자꾸 내 어깨 너머를 쳐다보니까, 나도 막 궁금하잖아. 내 어깨 뒤로 누가 있는건지.	2
아니..	5
하…. 안 그래도 빡치는데 짜증나게 하지말고 내 방에서 나가라.	0
점점 더워져요.	6
 네. 꽤 잘 만들어요.	7
음… 첫번째 본 집이 마음에 들긴 했거든요.	2
첫째하고 터울이 너무 많이 지면 안 되는 겨. 생각해봐야지.	1
무슨 말인데 너답지 않게 그렇게 분위기를 잡아? 철 들었냐?	3
네, 그 때 상어도 보고 해마도 봤어요. 할머니. 해마는 사람 뇌에도 해마가 있어요.	1
그러게. 그럼, 무서운 얘기나 할까?        대나무숲 하면 무서운 얘긴데.	2
다들 엄마들이 오는데, 할머니가 오면 어떡해요.	4
그렇게 말하면 나는 서운해.	4
한국인은 역시 쏘주지.	7
자꾸 이렇게 떼 쓰면, 망태기 할아버지가 잡아간다?	2
귀 찢어지겠어! 조용히 좀 해!	6
나? 나 담배 피우냐고? 아니야!	0
잘 설득해야죠.	2
그치? 아. 이모 너무 힘들다.	7
그래? 엄마 핸드폰 번호는 알아? 너 이 동네 살아?	1
응. 좋았겠다. 근데 우리집은 텐트도 없고, 캠핑을 어떻게 가지?	6
응. 에어컨 밑에 있는게 최고야.	1
에이씨, 내가 이 나이 먹고 어리광 부릴 수 있는 사람이 할머니밖에 없잖아~	7
이직 생각이야 옛날부터 있었지. 진짜.. 너무 힘들었어.	6
알았다. 이 할미가 엄마한테 단단히 얘기하마.	7
그치... 너무 조금 살면 허무하지.	1
죄송해요. 최근에 야근도 많고, 태국 출장도 다녀와서….	2
아 네 알겠습니다.	3
좋아하는 여자분이 생기셨는데 왜 이 천만원이나 필요하세요?	3
그래. 알았어.	4
아뇨 안 나타나죠 근데 보통 누가 4등 되고 로또 됐다고 해요	6
죄송해요.. 제가 인기가 없어서	4
응. 아니, 근데… 에이, 됐다.	3
그걸 어떻게 버려? 내가 얼마나 잘 끼고 다니는데.	0
응! 진짜 기억 하나도 안 났는데, 그걸 니가 다시 끄집어냈네?	7
내가 왜! 나는 그 게임 한번도 안 해봤어!	6
야 임마. 학원에서 너 등록안했다고 전화오는데, 그거 안 들킬 것 같았냐?	3
 히히, 그러면 7월 1일 일기부터!	7
 하….	6
 엄마가 언제. 아 진짜 무슨 일인데.	5
제가 어떻게 하면 될까요? 무슨 방법이 없을까요?	2
"에휴. 형님이 애를 오냐오냐 키워서 그런거 아니야. 	어렸을 때부터 그냥 니가 원하는 거 해라 그러고."	3
근데 책은 왜?	1
족발 맛 나는 보쌈 같은 맛이야.	7
 이걸 어쩜 좋아.   니 형이 아직도 저 세상을 못 가고, 우리 주위를 떠돌고 있나보다.	4
네덜란드? 좋지. 근데 네덜란드로 특별히 쓰는 이유가 있어?	5
또 샀어? 그정도 안됐으면 안되는거야.	3
그러게. 뭐야?	5
진짜 나는 이제 사람을 믿을 수가 없다	3
그러니까. 들고 일어나야지, 가만히 있으면 봉으로 본다니까.	0
아. 근데 주소를 모르는데..	2
진짜야. 더럽게 못생겼더라고. 그 선배, 나 싫어하봐.	5
아아 스트레스!!!	0
남았지.	1
아.. 네. 기억하시네요.	5
근데 엄마는 진짜 서울이 얼마나 무서운 줄 모르는 구나.	1
다른 친구들이랑도 헤어지기 싫은데...	4
네…	2
엄마 봐봐.	3
나 어제 한 잠도 못 잤어.	4
체대는 실기시험 봐요. 체육으로 하는거요.	1
약이야. 먹어도 돼.	1
세종대왕이랑, 이순신이랑, 광개토대왕이랑 있는데	2
거기 어디냐… 교회 앞에 까페.	3
그러니까. 여기가 교통도 좋고, 3층이라 채광도 좋고. 살기엔 아주 좋아. 여기 살던 학생도 계속 여기 살고 싶어했는데 이번에 공무원 시험 합격했다고, 어쩔 수 없이 가는 거야.	7
" 내... 내가?	 내가 매니저를 제대로 해낼 수 있을까?	 너한테 폐가 되면 어떡해."	7
아니요.. 잘 모르겠습니다..	6
엄마 어떻게 그럴 수가 있어? 나한테 어떻게 그럴 수가 있어?	4
니가 언제 물어 봤었냐?	7
아, 나도 봤어. 요즘은 노점에서 생선 파는 거 거의 못 봤는데 신기하더라.	5
"어차피 제가 반대하거나 말거나	  결혼, 할 거 아니에요?"	6
그럼 현관 비밀번호는?	2
진짜로… 내가 이번엔 제대로 할게. 내 명예가 있잖아. 잘못 만회할 기회를 줘.	5
다른 애들은 다 돌고래반까지 올라갔는데, 나 혼자 못 올라갔어.	4
 네. 벌써 두 달 넘었지요.	2
어허. 다른 애들은 잘만 하는데, 왜 이렇게 투정을 부릴까.	7
아닙니다… 어떻게 이런 일이 생겼는지…	4
아니야. 그냥 서랍처럼 문 여는 김치냉장고도 있어.	3
유에프오를 사랑하는 모임의 약자야.	7
엄마 나 꿈이 생겼어.	7
제가 뭘 했다고, 경찰을 불러요?	3
오우. 새별님. 실제로 보니까 진짜 아름다우세요. 올해 나이가?	7
그래 미안해 해야지.	0
하여튼 엄마가 너무 오냐오냐했어.	0
어 근데, 오늘 나도 엄마한테 전화한다고 갖고 오고 혜지도 아까 엄마랑 통화한다고 갖고 와서 너까지 그러면 쌤이 좀 의심할 수도 있어.	2
일본이 온천이 그렇게 좋다더구먼.	5
그래! 볼트가 쌌으면, 너가 다 책임져야지.	3
바바리맨들은 무슨 전통이 있는거니, 왜 꼭 옷도 그렇게 똑같이 입어.	3
" 이야아 선견지명이 있네! 나 츄리닝 좀 빌려줘.	  본격적으로 달려보자."	7
너가 잘못한거는 생각 안 하냐?	3
노지 열무가 이제 성기어질 때라 그래.	1
아니고, 그 웹 드라마 제작하는 업체.	1
그래? 근데 다른 할머니들한테서도 할머니 냄새가 나.	5
아 그럼 문자로 계좌 넣어드릴게요.	7
음... 뭐 대체로 그렇지.	1
애? 글쎄…. 그럼 시간이 좀 더 걸리겠네..	6
이 짐승만도 못한 자식.	0
언니 만나기 싫다고, 꼴도 보기 싫다고, 지금 나 보낸거잖아.	0
진짜야?	5
지은이는 아직 어려서 안 돼. 성인들만 볼 수 있게 만들어진 건 다 이유가 있는 거야.	4
그러지 말고 같이 가자. 필요한 건 내가 다 준비 할 테니까.	1
저 때 피부도 탱탱하고 머리숱도 많고. 가만히 있어도 예쁜데. 다 망치네 다 망쳐.	3
아니… 3등도 잘 한 거지. 근데 아빠는 1등밖에 안 해봤거든.	3
얼레레? 갑자기?	7
아 별거가 아니라니!	0
응 진짜로. 진짜 꼭 가봐.        우리 그럼, 그냥 주말에 한 번 가볼까?	7
어유 이 정도인줄은 몰랐네.         나는 소 한 마리 있으면 손주놈 대학은 보낼 줄 알았더니만.	6
뭐가 이상해. 그냥 너 평소 하는 것처럼 들이대.	7
불륜녀랑 거의 뭐 살림을 차렸던데? 어엄청 행복해 보이더라.	3
아니, 밥도 그대로 있구만. 뭘 드신다는 거야.	6
바람 소리 같기도 하고, 나무가 서로 스치며 흔들리는 소리 같기도 하고…	2
별 일이 왜 없어요. 선배 빠지니까 완전히 난리가 났지.	6
"내가 그만큼 해서 우리가 이 정도 표현하고 사는 거우.	 나는 우리 딸들이 엉겨 붙으면 좋기만 하드만."	7
그럼 예약? 같은 게 될까요?	4
아들은 만나는 여자 없어?	1
조금만 참아. 고 3이잖아. 니가 좀 참아. 원래 고 3들은 다 까탈스러워.	1
그래.	6
아 형님. 그런 건 형수님한테 얘기하면 바로 아웃이죠. 그냥 형님 선에서 넣어봐요.	6
정신 똑바로 차려. 당신 자식도 마찬가지야. 반성은... 그 놈 감옥 들어가서나 하라고 해!	0
나 부모님한테는 뭐라고 얘기하냐? 그리고 이제 앞으로 어떻게 하냐?	6
왜 그렇게 생각해. 솔직히 그 자식 맨날 바람피고, 언니 데려다가 예비시댁이다 뭐다 일만 시키고.	3
 음음 그죠.	5
" 아 뭐야. 무서워!!	 나 갈래!!! "	6
신? 그게 무슨 말이야?	2
 야 너가 괘씸하다. 너가 괘씸해.	3
너 그거 기억해? 그때 우리 지하 소극장 하나 빌려가지고 공연 했었잖아.	1
"알았어 미안해. 	빌려줄게."	6
부장님은 여기가 집이고 거기가 직장이래요.	3
아니 내 마누라 요새 바쁜지 물어보지도 못해?	6
그렇다고 봐야 하지 않아요? 손님들이 바글바글해야 성공한 장사꾼인데… 아빠는 사람들이 바글바글하면 싫을 거 아니야.	2
어이고, 모자가 아주 성질머리 하고는. 그러니까 그런 흉악한 일에 휘말렸지.	0
걔도 차있거든? 외제차. 그거 가져오라고 할까?	5
응. 미미 참치캔 같은 거 이제 먹을 수 있나?	1
그 강아지… 유기당한 거겠지?	4
어...아.. 내가 좀 취한 거 같긴 하다.	6
어떻게 견제하는데?	5
그게 아저씨 일이에요?	6
그건 엄마 생각이고!         지난 번에도 옷장에 청국장 냄새 안 빠져서, 옷 다 새로 빨았잖아!	0
일 안 한지 5년 됐지?	4
아이고. 요즘애들은 다들 왜 저러고 다닌다냐.         학생 때는 학생답게 하고 다니는 게 제일 예쁜건데.	3
그래. 내가 가봐야겠다.	7
잘 때마다 머리 땋여 봤어? 온 몸이 스케치북 되는 데 괜찮겠어?	6
네. 감사합니다.	7
그러면 빚은 어떡할건데? 누가 갚아줄건데?	6
………..고마워.	3
혹시 범죄 영화는 없나요?	3
응… 오늘 집 앞에 찾아왔길래 무슨 일인가 했더니… 헤어지재	4
넌 형한테 혁수가 뭐니.	0
형님... 다른 거라면 시키는 대로 다 할 게요... 제발요......	4
 아 술 냄새.	6
아니 나, 요즘 기침이 자꾸 나가지고.	6
오빠가 잘도 도와주겠다. 한번만 맛집 같이 가달라고 사정, 사정을 해도 들은 체도 안 하는 데.	3
네	6
나… 혼자 잖아.	1
아니 왜 들어보지도 않고 화부터 내는데!	0
"초등학교가 얼른 끝났으면 좋겠다고? 	너 아직 4년도 넘게 남았어. 큰일났다."	2
내가 제사 가져가잖냐.	6
아니? 딱히 그런 건 없는데.	2
에휴… 그것도 다 어른들이 하는 괜한 소리죠.. 어리다고 다 행복해요? 참나…	0
그래도 환갑인데, 밥만 먹는다고?	1
딱 백 원 차이여서… 크게 차이 안 날 줄 알았지. 이렇게 돈 많이 들 줄 몰랐어. 그리고, 나 지금 이만 원 밖에 없어.	4
개가 날 걸 좋아해.	1
선배님.. 제가 어제 말씀해주신 발주처 계약서 문서를 공유 드라이브에서 찾아봤는데요…	2
내가 찔렀지~	3
그래도 니가 너무 군대갔다온 사람처럼 군대 얘기만 하면 애들이 당연히 싫어하는 거 알지?	3
어. 솔직히… 형은 중 1만 되어도 이길 듯.	1
"싫다니까요!!!	 안 갈거야! 할아버지 혼자 가!	 싫어!!"	2
어머, 제가 그런가요?	3
무슨 생각?	5
바쁘신데 먼저 들어가서 정말 죄송합니다. 과장님은 퇴근 안하세요?	5
치. 맨날 못생겼다 그러면서.	6
얘기 안 했는데요??? 무슨 일이야 이게.  여보! 나와봐 좀!!	5
알겠어요.	4
응 알지. 뉴스에서 봤어.	7
누가 버렸는지 모르면, 제가 버린 사람이 되는 건가요? 웃기는 아줌마네.	3
 그럼 드리지 말던가.	7
"네. 같은반 친구에요. 	 둘이 좋아 죽어요. 종일 붙어 있어요.	 얼굴 다치게 한 것도 서연이 그림 그려준다고 사인펜 뚜껑 열다가 그랬어요."	7
아 아빠 알았으니까 잠깐 나가서 기다려	3
알았어. 갑자기 무슨 일이라니.	4
그렇구나. 고마워. 또 생각나는 거 있니?	7
 어떻게 그렇게 잘 알아?	7
아.. 무슨 배우 때문에 이렇게 화를 내?	6
아닙니다. 죄송합니다.	4
어우 진짜? 야, 아들이 서른 넘어서 그러면 좀 징그러울 거 같은데?	5
콩나물?! 그럼 여기 말고, 슈퍼에 가야되겠다.	5
아... 제가 전세는 이번이 처음이야.	4
 3년째? 야. 삼촌은 6년 사귄 여자도 있었어. 쪼끄만 게 결혼은 무슨.	3
정말?	0
성경에도 나와요. 예수님이 물을 술로 바꿔주시잖아요.	1
나중에 가서 보면, 너 고3이라고 신경써 주는 사람들 잔뜩 있었던 시간이 그리울 때가 올거야. 지금은 다들 니 비위 맞춰 주느라 힘들잖아.	1
아무렴 그 사이 꽃이 시들었겠어?	3
속들이 원래 좋은 가보지. 난 아니야.	3
 방에 컴퓨터 켜놓고 나왔어.	2
" 아이, 형님. 제가 잘못 했어요. 네?	 다음엔 안 잊어버리고 사 올게요. 오늘은 조상님들께 전 없어서 죄송합니다~ 제가 사과 드릴게요. 화 푸세요 형님."	2
하긴... 아무도 안 읽어봤겠지?	7
너도 찔리는게 있어서 기분이 더러운 걸 거 아니야? 내심 커피 사마시는 거 과소비라는 사실… 인지하고 있는 거 아니야?	3
세계여행? 갑자기? 얼마나?	5
"당연히 서운하지! 원래 아빠만 사랑한다고, 	아빠랑 결혼하고 싶다고 노래를 노래를 불렀는데 	이렇게 쉽게 변해버리다니. 실망이다 너."	0
….이해해.	6
봤네 봤어~ 야 선생님 좀 그만 지켜봐~	7
어디 보자… 3번? 그게… 야… 야… 이거 왜 이렇게 어려워? 요즘 애들 문제 너무 어렵게 내고… 이게 다 교육과정이 문제라니까.	5
아빠 저 왔어요.	7
네… 오늘이 동생 생일이거든요…	4
응. 근데 나는 거의 못 봤어. 너무 무서워서.	2
서운하니까 그러지.	4
계좌 내역 보여줘 봐.	0
"하여간, 못된 거는 아주 순식간에 캐치하는구만. 	 너 그런 거 따라하지마!"	3
아니면, 곰국에 라면 끓여먹어도 되나?	7
혈압이 많이 높으시네요?	5
여기 목 뒤에!	5
마지막 선물이라고 생각해. 	4
새 집에 니 방은 있다니?	3
진짜요? 저 주시는 거에요?	7
사람 일은 모르는거다. 그런 애들이 더 나돌 수도 있어.        꼭 안 그렇게 생긴 애들이 뒷통수 친다니까?	6
그러면 무슨 재미야. 그리고, 알고 보면 그렇게 어려운 것도 아니라고.	3
뭐? 갑자기 옛날 사람이라는 게 거기서 왜 나와. 그리고 임마. 아빠가 왜 옛날 사람이냐, 너랑 같이 살고 있는 동시대 사람이지.	0
"제가 공생하는 사이에서 예의를 지키려고 기자님 직접 찾아뵌거지 다음 번엔 기자님 얼굴 직접 안봬요. 정치부 오신지 얼마 안되셔서 아직 잘 모르시나본데	 어떤 게 기자님 인생에 도움이 될지 잘 한번 생각해보세요."	3
 여~ 좋은 아침.	7
뭐? 야 엄마는 아직 한창 때야. 갱년기는 무슨.	5
왜 그러지?	1
코너 캔디 샤 -샤샤 예-예.	1
그러게 말이다. 그렇게 그냥 잊혀진 사람이 됐지.        그 여학생은 어디서 뭘 하고 있을까.	4
정말요?	5
그렇구나	4
저 지금 벌써 약속에 30분 늦어서요.	2
무슨 일이 없는 게 문제지. 요즘 애들 방학과제 해주느라 잠을 못자. 방학과제 그거 진짜 나쁜거야.	6
 지금 뭐라고 하셨어요…?! 아빠라는 작자가 술을 그렇게 마신게… 우리 엄마 때문이라구요!?	0
그냥, 그냥 그렇게 해주세요.	1
네?	5
 왜요.	6
그러니까. 언니가 그 때 엄청 힘들거라 그랬잖아. 근데 나는 그게 뭔 말인지 머리로는 이해했는데 진짜로 이해하진 못 했거든? 근데 첫 날에 엄마랑 대판 싸우고 나서 완전 이해했잖아.	6
엄마, 나 다시 집에 들어올까?	4
네? 뭐라구요?	5
아.. 내가 왜 사과를 해?	3
아니요, 저는 주제를 6.25 전쟁 시기로 잡았는데,  할아버지 혹시 그때 몇살이셨어요?	2
알았어. 알았어. 당장 사줄게.	2
원래 주는게 어딨어, 원래. 나는 뭐 땅 파서 고춧가루 샀어? 다 돈 주고 사는 거야. 오 년을 그렇게 해줬으면 감사한줄 알고, 알아서들 좀 해야지. 에휴! 내가 자식새끼들을 다 잘 못 키웠지.	3
내가 언제?	5
네.	1
나이야 뭐, 두 사람이 한 살 차이니까. 그래도, 네 오빠가 사람이 진중한 맛이 있잖니.	1
나 저번에 미팅한 애의 친구의 친구.	1
안 하면 더 좋겠지만… 일단. 알겠습니다.	0
정말? 그런 프로그램이 있어?	5
근데, 배고픈 거 같아서 우유병을 물리려고 해도 싫다고 다 집어 던져버리던데요?	2
괜찮아. 할머니, 좋은 곳으로 가셨을 거야.        김씨 할머니, 평소에 기부도 많이 하고, 좋은 분이니까.       천국 갔을거야.	2
당연히 봤지. 너희 누나랑 나랑 만난 시간이 얼만데.	3
다음부터는 출고 하기 전에 꼭 먼저 전화 해보고. 잊어버리면 안돼.	0
경찰 아저씨라고 해! 그냥 아저씨 말고! 경 찰 아 저 씨 !	0
응. 이제 미국 갔다오면 대학 강사 같은 것도 뛰고 할 수 있으니까. 좋지.	7
드레스가 그렇게 비싸다구요?	5
선희씨도 그렇게 생각하시죠?	5
그럼. 말하지. 우린 부부잖아.	6
 그 놈의 고추 다 뽑아버리던지 해야지 진짜.  의사 선생님이 밭에 나가지 마시라고 했잖아요.	0
아 엄마 언제 와? 엄마 맨날 늦어	4
양심 좀 있어봐라. 좀.	0
어제 엄마랑 무서운 영화 봤단 말이야.	2
너, 말하고 싶은거 있구나? 할머니한테 털어놔봐.        엄마는 어차피 이해도 못해줄텐데.	6
진짜요? 그런 약이 있어요?	5
"근데 남자친구는 결혼하고 싶다고 그러면 	헤어지는 게 맞지."	6
"잔말 말고, 엄마가 지금 영어학원도 알아보고 있으니까,	 너네 친구들 좋다는 데 있으면,  엄마한테 바로 말해. 알았어?"	6
그래. 새벽에 연락이 왔어.	4
그건 그러네... 그럼 그냥 아빠랑도 살고, 저랑도 살아요.	6
그니까 완전 뒷북인데. 갑자기 보게 됐어.	7
형이 얘기 안 했어요?	5
어? 삼촌 안녕하세요.	5
아니야. 그렇게 안 매워.	1
좋아. 당장 내 번호부터 삭제해.	0
우리가 몇 년지기 친구야… 자그마치 십년이잖아, 십년. 그 동안 내가 옆에서 너를 얼마나 많이 도와줬는데… 나도 갑자기 가세가 이렇게 기울지만 않았어도, 너에게 이런 부탁은 하지 않았을 거야.	4
내가 뭐 연락 하기 싫어서 안 하니? 그렇게 아쉬우면 니가 좀 연락을 하지 그랬냐.	3
 불고기~	7
그러게나 말이다. 나는 우두커니 빈 집만 지키고 있어. 꼭 개가 된 거 같아.	3
그래요? 몇 번 짰는지 헷갈려서 그런지…	4
그럼 맞팔이, 서로 쫓아가는 거냐?	6
저기 가게들 박스 내놓을 시간이니까, 가서 좀 주워 와.	6
아니, 우리 아내 아는 사람 딸이 엄청 착실하고 예쁘다 그래서.         내가 딱 박주임 생각이 났지.	7
아예 작정을 하고 나왔더라고. 나간 내가 모지리지.	4
아 또 옛날 얘기해. 아빠 옛날 사람이야.	0
자네 요새 일하는 건 어때?	1
어째서지?	5
진짜?	5
딱 십오일씩 떨어져 있는게 아니라, 때에 따라 십일 십 오일 이십일 이렇게 다르기도 한거야.	1
아.. 전 괜찮은데...	6
걔랑 헤어졌어.	4
나도 걔가 너무 불쌍해 보여서 한번은 먼저 말을 걸어 보려고 했는데...	4
음... 그렇구나…	7
어? 기억 하나? 그 때 왜, 할머니 생신 잔치 때 왔던 어린애 있잖아.	5
네….	1
아니. 펜 신경 쓰는 것처럼 성적을 좀 신경 써봐라.	0
야, 나 잠깐 카드 내역 생각해 보고 줄테니까 기다려..	1
그럼 좋은거야?	1
아 아빠 그만 하라니까.. 나 정말 무서워 진짜로..	2
형 혹시 경비 얼마나 들었는지 하고 정보 좀 알 수 있을까요?	1
당연하지. 요즘 나이는 옛날처럼 계산하면 안돼.	1
일 처리를 그렇게 하면서 장사를 어떻게 하냐... 참나..	3
아… 진짜. 알았어.	6
나? 아빠 닮았지.	1
니가 먹었나보지! 몽유병처럼 자다가 나와서 먹었나보지!!	0
다른 애들이 왜 너를 모함해.	0
니가 잘못을 하니까 그렇지!	0
저도 초대해주세요. 술 사들고 놀러 가겠습니다.	7
갑자기 뭔 소리야. 니가 여자도 아니고 성형수술을 왜 해?	7
많아~ 진짜 많아. 니가 몰라서 그래.	1
아니지. 그런 건 아니지만… 근데 여기 불고기 내 생각보다 맛있다.	2
어… 누가요?	5
뭐 삼십대?	0
우와, 멋있어요.	7
왜 협박하는데! 할머니한테 다 이를거야.	4
언니가 나이가 들어서 그렇지 뭐.	6
미치겠다 진짜…	7
"아, 나 이제 힘들어. 	 내일 바이어들 온다는 데, 일찍 자야지."	0
좋은 것도 내 맘대로 못 해요. 정해지면 그냥 좋아야되는 거지.	4
희수야… 에휴, 좀 얌전히 자라 주면 안되겠니? 너 중학교 가면 이제 맨날 치마 입고 다녀야 하는데 그 머리가 어울린다고 생각해?	3
또? 이번에 다섯 번째 아니야?	4
이사 나간 지가 언젠데, 이제야 짐 정리를 해.	0
네.	4
네 그냥 저는 학교 다니고 있죠.	7
"아니, 요즘 애들은 어디서 신부도 잘도 얻어서, 결혼도 잘하드만.	 그 뭐야, 신혼부부 전세 대출? 그런거 받아서 집도 턱턱 마련하고. 	 너는 뭐 만나는 사람도 없니?"	3
응?	3
오늘 안 들어가면 안돼?	6
알았어. 그럼 어떻게 하면 좋을지 엄마랑 같이 고민해보자.	6
밤에 뭐가 재밌어?	5
내가 왜?	5
시골 가면 뭐 해보고 싶어?	7
정기모임이 이번달에 며칠이지?	5
"아 뭔데 이리 호들갑이야.	 정신 사나워 죽겠네."	6
나 진짜 아니라니까!? 할머니가 말한거 아니야?	0
아니 그럼 고등학생은 노래방도 못 가?	6
네 그럼요. 책상 앞에서 오래 앉아 있으면 힘든 거랑 마찬가지에요..	1
휴.. 봐봐 할머니. 일단 사진을 찍었잖아. 그럼 여기 앨범으로 들어오지?	7
 나 나갔다 온다. 	2
음.. 제가 동생을 처음 때렸던 순간입니다.       동생이 이제 막 걸음마를 떼던 때였는데, 저는 그 때 당시에       동생이 너무 미웠어요. 엄마도 아빠도 동생만 신경썼거든요.       그래서 동생이 일어서지 못하게 자꾸 동생을 밀어서 넘어뜨렸어요.      그런데 동생은 울지도 않고, 계속 일어나더라고요.      그게 너무 미워서 동생을 때렸어요.       그러자 동생이 무시무시하게 큰 소리로 울었어요.       마치… 자기도 여기 있다고, 누군가한테 말하는 것 같았어요.	4
아 그럼 우리 좀 주라.	7
 하… 엄마도 충분히 충격적인 고백이었으니까.       절대 나한테 화내기 없기다?	4
아. 이게 참… 그냥 혹시나 해서 여쭤보는 건데요. 어제… 아이 때리셨나요?	2
아니. 그러니까 시험 끝난 날 부터 성적표 나오는 날까지가 제일 좋은거야	7
너 왜 카페에서 혼자 이러고 있어?	2
그게 뭐야.	7
왜 남의 물건에 막 손대고 그러세요?	5
다 고치해줄거야? 나… 이런거 처음 해봐서 좀 긴장돼.	1
난 내 딸이 요리를 한다는 것 만으로도 장하다.	7
지금은 다른 동네로 이사갔는데, 구평동에 미친 치과의사가 있었대.	2
언니도 반바지 입고 놀았잖아.	0
네… 그런데 제 생일이랑, 주소… 발급일자는 그대로 다 나와 있어서…	2
네… 그래도 1-2백 하나봐요.	2
세준이? 그래 아줌마랑 같이 사무실 가자.	7
자네, 그 경비로 일하고 있는 아파트 있잖아.	1
기생? 너 진짜 인간이 못됐다. 그렇게 말해야 겠냐?	5
 제가 손주 볼 나이에 이게 지금 무슨              일인지 모르겠어요. 임신 확실해요?	2
알았어….	6
징계위원회에서 처리하고.. 걔들 퇴학시키거나 강제전학 보낸대.	1
죄송합니다. 다시 이런 일 없도록 하겠습니다.	2
설마…	3
죽어라고 일해서 맥이고, 키우고, 공부시켜 놨더니 허구한날 집구석에               틀어박혀서 너 대체 뭐하고 있는 거냐? 얘기 좀 해봐.               너 대체 요즘 뭐하는데?	0
당연히 되지요 아버님. 여기 몇 가지 정보만 작성해주시면은 20프로 세일을 해드리고 있어요.	7
할머니도 어릴 때 괴롭힘 당한 적 있어?	4
그거는 저도 못 보여드려요. 학교 규정이라.	6
맞아. 지금 이렇게 추억 만들어 놔야지.	1
근데 귀신은 우리가 모르는 사람이고, 조상님들은 우리 가족이니까.          귀신들은 한을 품고 우리한테 접근하는 거고,         조상님들은 우리를 보살펴 주려고 오시는거야.          그러니까 다른거지.	6
반에서 22등? 너 맨날 독서실 간다고 나가더니 공부안하고 뭐하고 다닌거야?	0
이선좌가 뭔데?	5
잘못했어요 형수님.	2
왜 그랬어. 나 진짜 피부 하얗고 키 큰 사람 좋아하는데.	6
네, 다 맞는데요… 그래도 저보다 한참이나 어린 분이.. 이런식으로 말씀하시는게 좀 듣기 힘드네요. 솔직히.	4
다른 사람들도 좋았는데,        이모부는 딱 첫 마디 나눴는데, 이 사람이랑 결혼하고 싶더라고.	5
하이고! 나였으면 열 번도 더 빌었다.	3
"아니, 건조대에 올려 놨으면, 먼지 안 쌓이게 덮개를 덮어놔야지,	 그냥 공기 중에 헤벌레, 펼쳐 놓으면 되겠어 그게?"	0
조금만 버텨보자.	4
 저 무시하세요?	0
그니까. 지는 골프치면서 선크림도 안발랐는지 주름이 아주 자글자글 해. 나 무슨 50대인 줄 알았다니까?	6
그래. 나도 화장실 좀 갔다 와야겠다.	1
저도 경험이 있으니까.. 대충 짐작은 했는데, 이렇게 빨리 사단이 날 줄은 몰랐네요..	4
네. 그런데, 아직 계약하겠다 싶은 사람은 없네요.	2
환자들도 그게 이해가 안되는 거지.	2
엄마는 좀 어때? 좀 나아졌어?	4
그래. 그래서 그냥 애인이 생겼다고 했어.	4
그걸 지율이라고 하는 거에요?	5
